Marker,Pixel
CD1d,14
CD31,40
HLA-DQ,70
CD352,100
CD21,128
CD196,156
CD79b,185
CD1c,219
CD48,242
IgD,275
IgM,298
CD298,330
CD47,360
CD85j,390
CD98,420
CD147,445
CD29,474
CD49d,500
CD24,530
CD82,563
HLA-ABC,590
CD45RA,620
CD52,650
CD53,680
CD99,710
CD270,735
CD180,763
CD35,793
CD50,820
CD19,850
CD44,880
CD45,910
B2M,940
CD32,970
CD72,995
CD305,1025
CD81,1054
CD102,1080
CD20,1110
HLA-DR,1140
CD40,1170
CD22,1200
CD185,1225
CD268,1260
CD55,1289
CD272,1318
CD45RB,1345
CD27,1370
CD73,1400
CD197,1434
CD39,1460
CD164,1485
CD97,1520
CD206,1546
CD183,1576
CD156c,1604
CD43,1636
CD18,1662
CD71,1690
CD36,1720
CD300c,1750
CD2,1780
CD11a,1810
CD42b,1840
IgA,1870
CD300,1900
CD61,1930
CD49b,1960
CD49f,1990
CD41,2020
CX4CR1,2050
CD4,2080
CD274,2093
IgLambda,2126
MSC-NPC,2155
CD114,2183
CD172a,2214
CD179b,2241
CLA,2272
CD49e,2299
CD63,2327
CD54,2356
CD95,2386
CD62L,2416
CD229,2444
CD321,2470
CD194,2503
CD9,2530
CD38,2560
CD5,2592
CD10,2615
CD84,2646
CD11c,2675
CD184,2706
CD23,2732
CD200,2762
IgKappa,2789
TLT-2,2823
